Repository                                          Stars  Created at  Description                                            
gocolly/colly                                       10020  2017        Elegant Scraper and Crawler Framework for Golang       
peterq/pan-light                                    9967   2019        百度网盘不限速客户端, golang + qt5, 跨�...                        
google/grumpy                                       9950   2016        Grumpy is a Python to Go source code transcompiler...  
hashicorp/packer                                    9779   2013        Packer is a tool for creating identical machine im...  
hyperledger/fabric                                  9764   2016        Hyperledger Fabric is an enterprise-grade permissi...  
stretchr/testify                                    9636   2012        A toolkit with common assertions and mocks that pl...  
google/gvisor                                       9548   2018        Container Runtime Sandbox                              
vitessio/vitess                                     9511   2013        Vitess is a database clustering system for horizon...  
gizak/termui                                        9493   2015        Golang terminal dashboard                              
bcicen/ctop                                         9457   2016        Top-like interface for container metrics               
restic/restic                                       9315   2014        Fast, secure, efficient backup program                 
ipfs/go-ipfs                                        9283   2014        IPFS implementation in Go                              
iawia002/annie                                      9282   2018        👾 Fast, simple and clean video downloader              
dutchcoders/transfer.sh                             9232   2014        Easy and fast file sharing from the command-line.      
esimov/caire                                        9181   2018        Content aware image resize library                     
chrislusf/seaweedfs                                 9166   2014        SeaweedFS is a simple and highly scalable distribu...  
gopherjs/gopherjs                                   9140   2013        A compiler from Go to JavaScript for running Go co...  
GoogleContainerTools/skaffold                       9059   2018        Easy and Repeatable Kubernetes Development             
bilibili/kratos                                     9012   2019        Kratos是bilibili开源的一套Go微服务框架�...                        
go-sql-driver/mysql                                 8989   2012        Go MySQL Driver is a MySQL driver for Go's (golang...  
uber-go/zap                                         8967   2016        Blazing fast, structured, leveled logging in Go.       
rkt/rkt                                             8907   2014        rkt is a pod-native container engine for Linux. It...  
grafana/loki                                        8634   2018        Like Prometheus, but for logs.                         
asciimoo/wuzz                                       8537   2017        Interactive cli tool for HTTP inspection               
elastic/beats                                       8495   2014        :tropical_fish: Beats - Lightweight shippers for E...  
PuerkitoBio/goquery                                 8361   2012        A little like that j-thing, only in Go.                
fyne-io/fyne                                        8343   2018        Cross platform GUI in Go based on Material Design      
dinedal/textql                                      8298   2014        Execute SQL against structured text like CSV or TS...  
golang/groupcache                                   8263   2013        groupcache is a caching and cache-filling library,...  
influxdata/telegraf                                 8121   2015        The plugin-driven server agent for collecting & re...  
Netflix/chaosmonkey                                 8068   2016        Chaos Monkey is a resiliency tool that helps appli...  
docker-slim/docker-slim                             8041   2015        DockerSlim (docker-slim): Don't change anything in...  
cyfdecyf/cow                                        8003   2012        HTTP proxy written in Go. COW can automatically id...  
apex/apex                                           8001   2015        Build, deploy, and manage AWS Lambda functions wit...  
go-redis/redis                                      8000   2012        Type-safe Redis client for Golang                      
ory/hydra                                           7978   2015        OAuth2 Server and OpenID Certified™ OpenID Conne...    
snail007/goproxy                                    7970   2017        Proxy是高性能全功能的http代理、https代...                          
Masterminds/glide                                   7943   2014        Package Management for Golang                          
git-lfs/git-lfs                                     7894   2013        Git extension for versioning large files               
gravitational/teleport                              7788   2015        Privileged access management for elastic infrastru...  
jmoiron/sqlx                                        7777   2013        general purpose extensions to golang's database/sq...  
emirpasic/gods                                      7765   2015        GoDS (Go Data Structures). Containers (Sets, Lists...  
grpc-ecosystem/grpc-gateway                         7729   2015        gRPC to JSON proxy generator following the gRPC HT...  
sqshq/sampler                                       7657   2019        Tool for shell commands execution, visualization a...  
micro/micro                                         7619   2015        A microservice runtime environment                     
rakyll/hey                                          7582   2016        HTTP load generator, ApacheBench (ab) replacement,...  
apex/up                                             7505   2017        Deploy infinitely scalable serverless apps, apis, ...  
flynn/flynn                                         7489   2013        A next generation open source platform as a servic...  
hoanhan101/ultimate-go                              7395   2018        Ultimate Go study guide, with heavily documented c...  
github/gh-ost                                       7363   2016        GitHub's Online Schema Migrations for MySQL            
andlabs/ui                                          7336   2014        Platform-native GUI library for Go.                    
dgraph-io/badger                                    7277   2017        Fast key-value DB in Go.                               
nats-io/nats-server                                 7269   2012        High-Performance server for NATS, the cloud native...  
openshift/origin                                    7221   2014        The self-managing, auto-upgrading, Kubernetes dist...  
future-architect/vuls                               7190   2016        Agent-less vulnerability scanner for Linux, FreeBS...  
json-iterator/go                                    7151   2016        A high-performance 100% compatible drop-in replace...  
kubernetes/dashboard                                7087   2015        General-purpose web UI for Kubernetes clusters         
attic-labs/noms                                     7079   2015        The versioned, forkable, syncable database             
unknwon/go-fundamental-programming                  7063   2013        《Go 编程基础》是一套针对 Google 出品...                            
dgrijalva/jwt-go                                    7024   2012        Golang implementation of JSON Web Tokens (JWT)         
go-chi/chi                                          6999   2015        lightweight, idiomatic and composable router for b...  
sjwhitworth/golearn                                 6985   2013        Machine Learning for Go                                
therecipe/qt                                        6970   2014        Qt binding for Go (Golang) with support for Window...  
gomodule/redigo                                     6970   2012        Go client for Redis                                    
ardanlabs/gotraining                                6965   2014        Go Training Class Material :                           
bettercap/bettercap                                 6835   2018        The Swiss Army knife for 802.11, BLE and Ethernet ...  
kubernetes/ingress-nginx                            6817   2016        NGINX Ingress Controller for Kubernetes                
google/go-cloud                                     6816   2018        The Go Cloud Development Kit (Go CDK): A library a...  
kelseyhightower/confd                               6814   2013        Manage local application configuration files using...  
rook/rook                                           6780   2016        Storage Orchestration for Kubernetes                   
tidwall/tile38                                      6690   2016        Real-time Geospatial and Geofencing                    
opencontainers/runc                                 6657   2015        CLI tool for spawning and running containers accor...  
shadowsocks/shadowsocks-go                          6612   2012        go port of shadowsocks (Deprecated)                    
cjbassi/gotop                                       6606   2018        A terminal based graphical activity monitor inspir...  
urfave/negroni                                      6528   2014        Idiomatic HTTP Middleware for Golang                   
tylertreat/comcast                                  6443   2014        Simulating shitty network connections so you can b...  
