Repository                                          Stars  Created at  Description                                            
huichen/wukong                                      3509   2013        高度可定制的全文搜索引擎                                           
oxequa/realize                                      3497   2016        Realize is the #1 Golang Task Runner which enhance...  
vmware-tanzu/octant                                 3495   2019        A web-based, highly extensible platform for develo...  
gogo/protobuf                                       3494   2014        Protocol Buffers for Go with Gadgets                   
jwilder/docker-gen                                  3491   2014        Generate files from docker container meta-data         
tophubs/TopList                                     3490   2019        今日热榜，一个获取各大热门网站热�...                                  
tendermint/tendermint                               3490   2014        ⟁ Tendermint Core (BFT Consensus) in Go                
gruntwork-io/terragrunt                             3486   2016        Terragrunt is a thin wrapper for Terraform that pr...  
patrickmn/go-cache                                  3479   2012        An in-memory key:value store/cache (similar to Mem...  
jung-kurt/gofpdf                                    3464   2015        A PDF document generator with high level support f...  
gomatcha/matcha                                     3449   2017        Build native mobile apps in Go.                        
cli/cli                                             3444   2019        The GitHub CLI                                         
OWASP/Go-SCP                                        3438   2017        Go programming language secure coding practices gu...  
MichaelMure/git-bug                                 3434   2018        Distributed, offline-first bug tracker embedded in...  
hoisie/web                                          3429   2009        The easiest way to create web applications with Go     
mozilla-services/heka                               3407   2012        DEPRECATED: Data collection and processing made ea...  
ant0ine/go-json-rest                                3386   2013        A quick and easy way to setup a RESTful JSON API       
name5566/leaf                                       3381   2014        A game server framework in Go (golang)                 
golang/lint                                         3380   2013        [mirror] This is a linter for Go source code.          
igrigorik/ga-beacon                                 3376   2014        Google Analytics collector-as-a-service (using GA ...  
knadh/listmonk                                      3372   2019        High performance, self-hosted newsletter and maili...  
uber/cadence                                        3370   2017        Cadence is a distributed, scalable, durable, and h...  
github/orchestrator                                 3355   2016        MySQL replication topology management and HA           
anacrolix/torrent                                   3330   2015        Full-featured BitTorrent client package and utilit...  
jenkins-x/jx                                        3329   2018        Jenkins X provides automated CI+CD for Kubernetes ...  
DisposaBoy/GoSublime                                3315   2011        A Golang plugin collection for SublimeText 3, prov...  
ansible-semaphore/semaphore                         3312   2014        Open Source alternative to Ansible Tower               
burke/zeus                                          3309   2012        Boot any rails app in under a second.                  
dvyukov/go-fuzz                                     3306   2015        Randomized testing for Go                              
maxence-charriere/app                               3302   2016        A WebAssembly framework to build GUI with Go, HTML...  
fatih/color                                         3300   2014        Color package for Go (golang)                          
cortexlabs/cortex                                   3292   2019        Deploy machine learning models in production           
wercker/stern                                       3289   2016        ⎈ Multi pod and container log tailing for Kubern...    
go-gorp/gorp                                        3284   2012        Go Relational Persistence - an ORM-ish library for...  
yuin/gopher-lua                                     3272   2015        GopherLua: VM and compiler for Lua in Go               
codegangsta/gin                                     3272   2013        Live reload utility for Go web servers                 
tsuru/tsuru                                         3259   2012        Open source, extensible and Docker-based Platform ...  
meshbird/meshbird                                   3248   2016        Distributed private networking                         
hashicorp/raft                                      3244   2013        Golang implementation of the Raft consensus protoc...  
variadico/noti                                      3242   2015        Monitor a process and trigger a notification.          
google/gopacket                                     3240   2015        Provides packet processing capabilities for Go         
googollee/go-socket.io                              3238   2013        socket.io library for golang, a realtime applicati...  
Tencent/bk-cmdb                                     3231   2016        蓝鲸智云配置平台(BlueKing CMDB)                                
michenriksen/aquatone                               3226   2015        A Tool for Domain Flyovers                             
baidu/bfe                                           3226   2019        Open-source layer 7 load balancer derived from pro...  
siddontang/ledisdb                                  3224   2014        a high performance NoSQL powered by Go                 
astaxie/go-best-practice                            3218   2013        Trying to complete over 100 projects in various ca...  
letsencrypt/boulder                                 3215   2014        An ACME-based certificate authority, written in Go...  
windmilleng/tilt                                    3193   2018        Local Kubernetes development with no stress            
uber/kraken                                         3192   2018        P2P Docker registry capable of distributing TBs of...  
manifoldco/promptui                                 3189   2017        Interactive prompt for command-line applications       
ffhelicopter/Go42                                   3177   2018        《Go语言四十二章经》详细讲述Go语言�...                                
gopasspw/gopass                                     3176   2017        The slightly more awesome standard unix password m...  
google/wire                                         3174   2018        Compile-time Dependency Injection for Go               
nuclio/nuclio                                       3170   2017        High-Performance Serverless event and data process...  
vugu/vugu                                           3168   2019        Vugu: A modern UI library for Go+WebAssembly (expe...  
ha/doozerd                                          3166   2011        A consistent distributed data store.                   
adtac/commento                                      3165   2017        A fast, bloat-free comments platform. GitHub Mirro...  
gilbertchen/duplicacy                               3163   2016        A new generation cloud backup tool                     
graph-gophers/graphql-go                            3160   2016        GraphQL server with a focus on ease of use             
sourcegraph/sourcegraph                             3156   2015        Universal code search and navigation tool (self-ho...  
imgproxy/imgproxy                                   3152   2017        Fast and secure standalone server for resizing and...  
jwilder/dockerize                                   3143   2014        Utility to simplify running applications in docker...  
gorgonia/gorgonia                                   3137   2016        Gorgonia is a library that helps facilitate machin...  
aquasecurity/trivy                                  3136   2019        A Simple and Comprehensive Vulnerability Scanner f...  
tianon/gosu                                         3132   2014        Simple Go-based setuid+setgid+setgroups+exec           
cookieY/Yearning                                    3127   2017        A most popular sql audit platform for mysql            
google/pprof                                        3125   2016        pprof is a tool for visualization and analysis of ...  
gwuhaolin/lightsocks                                3111   2017        ⚡️一个轻巧的网络混淆代理🌏                                         
99designs/aws-vault                                 3094   2015        A vault for securely storing and accessing AWS cre...  
bitly/go-simplejson                                 3091   2012        a Go package to interact with arbitrary JSON           
hasura/gitkube                                      3090   2018        Build and deploy docker images to Kubernetes using...  
AsynkronIT/protoactor-go                            3071   2016        Proto Actor - Ultra fast distributed actors for Go...  
davyxu/cellnet                                      3061   2015        High performance, simple, extensible golang open s...  
progrium/localtunnel                                3052   2010        Expose localhost servers to the Internet               
pion/webrtc                                         3051   2018        Pure Go implementation of the WebRTC API               
mitchellh/mapstructure                              3048   2013        Go library for decoding generic map values into na...  
kubernetes/client-go                                3044   2016        Go client for Kubernetes.                              
BurntSushi/toml                                     3044   2013        TOML parser for Golang with reflection.                
nytimes/gizmo                                       3041   2015        A Microservice Toolkit from The New York Times         
operator-framework/operator-sdk                     3037   2018        SDK for building Kubernetes applications. Provides...  
panjf2000/ants                                      3036   2018        🐜🐜🐜 ants is a high-performance and low-co...           
dominikh/go-tools                                   3035   2017        Staticcheck – a collection of static analysis to...    
FiloSottile/age                                     3028   2019        A simple, modern and secure encryption tool with s...  
streadway/amqp                                      3023   2012        Go client for AMQP 0.9.1                               
AdguardTeam/AdGuardHome                             3019   2016        Network-wide ads & trackers blocking DNS server        
open-policy-agent/opa                               3018   2015        An open source, general-purpose policy engine.         
securego/gosec                                      3017   2016        Golang security checker                                
gomods/athens                                       3012   2018        A Go module datastore and proxy                        
asticode/go-astilectron                             3002   2017        Build cross platform GUI apps with GO and HTML/JS/...  
goby-lang/goby                                      3000   2017        Goby - Yet another programming language written in...  
goproxy/goproxy.cn                                  2997   2019        The most trusted Go module proxy in China.             
claudiodangelis/qr-filetransfer                     2992   2018        :zap: Transfer files over wifi from your computer ...  
nektos/act                                          2989   2019        Run your GitHub Actions locally                        
heroiclabs/nakama                                   2982   2017        Distributed server for social and realtime games a...  
gobwas/ws                                           2969   2017        Tiny WebSocket library for Go.                         
bosun-monitor/bosun                                 2941   2013        Time Series Alerting Framework                         
buger/jsonparser                                    2940   2016        Alternative JSON parser for Go that does not requi...  
hybridgroup/gocv                                    2939   2017        Go package for computer vision using OpenCV 4 and ...  
cortesi/devd                                        2938   2015         A local webserver for developers                      
go-macaron/macaron                                  2932   2014        Package macaron is a high productive and modular w...  
rs/zerolog                                          2929   2017        Zero Allocation JSON Logger                            
kgretzky/evilginx2                                  2925   2018        Standalone man-in-the-middle attack framework used...  
disintegration/imaging                              2918   2012        Imaging is a simple image processing package for G...  
zxh0/jvm.go                                         2914   2015        A toy JVM written in Go                                
prometheus/alertmanager                             2902   2013        Prometheus Alertmanager                                
fatih/structs                                       2892   2014        Utilities for Go structs                               
lni/dragonboat                                      2873   2018        A feature complete and high performance multi-grou...  
google/netstack                                     2862   2016        IPv4 and IPv6 userland network stack                   
vulcand/vulcand                                     2854   2014         Programmatic load balancer backed by Etcd             
h2non/imaginary                                     2846   2015        Fast, simple, scalable HTTP microservice for high-...  
kubernetes/autoscaler                               2825   2017        Autoscaling components for Kubernetes                  
oklog/oklog                                         2821   2017        A distributed and coördination-free log managemen...   
schollz/croc                                        2820   2017        Easily and securely send things from one computer ...  
c-bata/go-prompt                                    2814   2017        Building powerful interactive prompts in Go, inspi...  
alecthomas/kingpin                                  2804   2014        CONTRIBUTIONS ONLY: A Go (golang) command line and...  
sourcegraph/checkup                                 2798   2016        Distributed, lock-free, self-hosted health checks ...  
google/syzkaller                                    2773   2015        syzkaller is an unsupervised coverage-guided kerne...  
kelseyhightower/envconfig                           2773   2013        Golang library for managing configuration data fro...  
hashicorp/hcl                                       2772   2014        HCL is the HashiCorp configuration language.           
olebedev/go-starter-kit                             2772   2015        Golang isomorphic react/hot reloadable/redux/css-m...  
tinode/chat                                         2768   2014        Instant messaging server; backend in Go; iOS, Andr...  
libp2p/go-libp2p                                    2767   2015        libp2p implementation in Go                            
siddontang/go-mysql-elasticsearch                   2765   2015        Sync MySQL data into elasticsearch                     
kubernetes-sigs/external-dns                        2762   2017        Configure external DNS servers (AWS Route53, Googl...  
anthonynsimon/bild                                  2761   2016        A collection of parallel image processing algorith...  
kubesphere/kubesphere                               2758   2018        Easy-to-use Production Ready Container Platform        
faiface/pixel                                       2746   2016        A hand-crafted 2D game library in Go                   
mholt/certmagic                                     2744   2018        Automatic HTTPS for any Go program: fully-managed ...  
googleforgames/agones                               2743   2017        Dedicated Game Server Hosting and Scaling for Mult...  
chrislusf/glow                                      2742   2015        Glow is an easy-to-use distributed computation sys...  
nlopes/slack                                        2739   2015        Slack API in Go                                        
Masterminds/squirrel                                2732   2014        Fluent SQL generation for golang                       
ksimka/go-is-not-good                               2730   2015        A curated list of articles complaining that go (go...  
golang/oauth2                                       2727   2014        Go OAuth2                                              
fullstorydev/grpcurl                                2722   2017        Like cURL, but for gRPC: Command-line tool for int...  
mholt/archiver                                      2721   2016        Easily create & extract archives, and compress & d...  
OJ/gobuster                                         2718   2014        Directory/File, DNS and VHost busting tool written...  
iron-io/functions                                   2714   2016        IronFunctions - the serverless microservices platf...  
knative/serving                                     2706   2018        Kubernetes-based, scale-to-zero, request-driven co...  
NebulousLabs/Sia                                    2703   2014        Blockchain-based marketplace for file storage. Pro...  
containers/buildah                                  2699   2017        A tool that facilitates building OCI images            
karan/joe                                           2688   2015        :running: A .gitignore magician in your command li...  
jingweno/ccat                                       2687   2015        Colorizing `cat`                                       
chaitin/xray                                        2686   2019        一款完善的安全评估工具，支持常见 w...                                  
rcrowley/go-metrics                                 2678   2011        Go port of Coda Hale's Metrics library                 
koding/kite                                         2670   2014        Micro-service framework in Go                          
OWASP/Amass                                         2669   2018        In-depth Attack Surface Mapping and Asset Discover...  
nats-io/nats.go                                     2668   2012        Golang client for NATS, the cloud native messaging...  
kahing/goofys                                       2658   2015        a high-performance, POSIX-ish Amazon S3 file syste...  
drk1wi/Modlishka                                    2651   2018        Modlishka. Reverse Proxy.                              
volatiletech/sqlboiler                              2647   2016        Generate a Go ORM tailored to your database schema...  
ovh/cds                                             2646   2016        Enterprise-Grade Continuous Delivery & DevOps Auto...  
esimov/pigo                                         2633   2018        Pure Go face detection library.                        
genuinetools/img                                    2632   2017        Standalone, daemon-less, unprivileged Dockerfile a...  
tidwall/buntdb                                      2629   2016        BuntDB is an embeddable, in-memory key/value datab...  
go-gomail/gomail                                    2617   2014        The best way to send emails in Go.                     
gobuffalo/packr                                     2616   2017        The simple and easy way to embed static files into...  
monochromegane/the_platinum_searcher                2611   2014        A code search tool similar to ack and the_silver_s...  
360EntSecGroup-Skylar/goreporter                    2604   2017        A Golang tool that does static analysis, unit test...  
soundcloud/roshi                                    2603   2014        Roshi is a large-scale CRDT set implementation for...  
fogleman/ln                                         2599   2016        3D line art engine.                                    
pquerna/ffjson                                      2594   2014        faster JSON serialization for Go                       
goinaction/code                                     2588   2014        Source Code for Go In Action examples                  
joho/godotenv                                       2586   2013        A Go port of Ruby's dotenv library (Loads environm...  
remind101/empire                                    2585   2015        A PaaS built on top of Amazon EC2 Container Servic...  
sorintlab/stolon                                    2584   2015        PostgreSQL cloud native High Availability and more...  
d4l3k/go-pry                                        2579   2015        An interactive REPL for Go that allows you to drop...  
mailgun/godebug                                     2575   2015        DEPRECATED! https://github.com/derekparker/delve       
Ne0nd0g/merlin                                      2572   2017        Merlin is a cross-platform post-exploitation HTTP/...  
whalebrew/whalebrew                                 2571   2017        Homebrew, but with Docker images                       
spf13/afero                                         2571   2014        A FileSystem Abstraction System for Go                 
Jeiwan/blockchain_go                                2568   2017        A simplified blockchain implementation in Golang       
fvbock/endless                                      2560   2015        Zero downtime restarts for go servers (Drop in rep...  
containernetworking/cni                             2558   2015        Container Network Interface - networking for Linux...  
kubernetes-retired/heapster                         2556   2014        [EOL] Compute Resource Usage Analysis and Monitori...  
wcharczuk/go-chart                                  2547   2016        go chart is a basic charting library in native gol...  
GoAdminGroup/go-admin                               2546   2018        A golang framework helps gopher to build a data vi...  
markbates/goth                                      2544   2014        Package goth provides a simple, clean, and idiomat...  
go-resty/resty                                      2532   2015        Simple HTTP and REST client library for Go             
parnurzeal/gorequest                                2531   2014        GoRequest -- Simplified HTTP client ( inspired by ...  
m3db/m3                                             2530   2016        M3 monorepo - Distributed TSDB, Aggregator and Que...  
coocood/freecache                                   2529   2015        A cache library for Go with zero GC overhead.          
gravityblast/fresh                                  2524   2014        Build and (re)start go web apps after saving/creat...  
cweill/gotests                                      2524   2016        Generate Go tests from your source code.               
campoy/go-tooling-workshop                          2516   2017        A workshop covering all the tools gophers use in t...  
lxc/lxd                                             2503   2014        Daemon based on liblxc offering a REST API to mana...  
hajimehoshi/ebiten                                  2502   2013        A dead simple 2D game library in Go                    
go-mgo/mgo                                          2501   2014        The MongoDB driver for Go. UNMAINTAINED - SEE BELO...  
knqyf263/pet                                        2501   2017        Simple command-line snippet manager, written in Go...  
rakyll/statik                                       2499   2014        Embed files into a Go executable                       
runatlantis/atlantis                                2496   2018        Terraform Pull Request Automation                      
thewhitetulip/web-dev-golang-anti-textbook          2493   2016        Learn how to write webapps without a framework in ...  
cloud-annotations/training                          2484   2019        🐝 Custom Object Detection and Classification Tr...     
gogf/gf                                             2482   2017        GoFrame is a modular, full-featured and production...  
GoogleCloudPlatform/terraformer                     2474   2019        CLI tool to generate terraform files from existing...  
mvdan/sh                                            2473   2016        A shell parser, formatter, and interpreter (sh/bas...  
golang/glog                                         2467   2013        Leveled execution logs for Go                          
gpmgo/gopm                                          2460   2013        Go Package Manager (gopm) is a package manager and...  
xtaci/kcp-go                                        2453   2015         A Crypto-Secure, Production-Grade Reliable-UDP Li...  
syncsynchalt/illustrated-tls                        2452   2018        The Illustrated TLS Connection: Every byte explain...  
coreos/fleet                                        2448   2013        fleet ties together systemd and etcd into a distri...  
HouzuoGuo/tiedot                                    2445   2013        Your NoSQL database powered by Golang                  
mailru/easyjson                                     2438   2016        Fast JSON serializer for golang.                       
argoproj/argo-cd                                    2435   2018        Declarative continuous deployment for Kubernetes.      
unknwon/go-web-foundation                           2428   2013        《Go Web 基础》是一套针对 Google 出品�...                        
ilanyu/ReverseProxy                                 2427   2017        ReverseProxy in golang                                 
jdkato/prose                                        2421   2017        :book: A Golang library for text processing, inclu...  
virtual-kubelet/virtual-kubelet                     2421   2017        Virtual Kubelet is an open source Kubernetes kubel...  
pksunkara/alpaca                                    2414   2013        Given a web API, Generate client libraries in node...  
gravitational/teleconsole                           2412   2016        Command line tool to share your UNIX terminal and ...  
grpc-ecosystem/go-grpc-middleware                   2412   2016        Golang gRPC Middlewares: interceptor chaining, aut...  
mickael-kerjean/filestash                           2394   2017        🦄 A modern web client for SFTP, S3, FTP, WebDAV...     
nlf/dlite                                           2391   2015        The simplest way to use Docker on OS X                 
eddycjy/go-gin-example                              2390   2018        An example of gin                                      
mlabouardy/komiser                                  2389   2018        :cloud: Cloud Environment Inspector 👮:lock: :mo...     
jinzhu/now                                          2388   2013        Now is a time toolkit for golang                       
chrislusf/gleam                                     2386   2016        Fast, efficient, and scalable distributed map/redu...  
docker/libchan                                      2385   2014        Like Go channels over the network                      
kubernetes-retired/contrib                          2382   2015        [EOL] This is a place for various components in th...  
containous/yaegi                                    2380   2018        Yaegi is Another Elegant Go Interpreter                
xo/xo                                               2370   2016        Command line tool to generate idiomatic Go code fo...  
ReactiveX/RxGo                                      2369   2016        Reactive Extensions for the Go language.               
aquasecurity/kube-bench                             2364   2017        Checks whether Kubernetes is deployed according to...  
dunglas/vulcain                                     2361   2019        Use HTTP/2 Server Push to create fast and idiomati...  
genuinetools/binctr                                 2358   2016        Fully static, unprivileged, self-contained, contai...  
jackc/pgx                                           2358   2013        PostgreSQL driver and toolkit for Go                   
cortexproject/cortex                                2352   2016        A horizontally scalable, highly available, multi-t...  
vuvuzela/vuvuzela                                   2351   2015        Private messaging system that hides metadata           
TrueFurby/go-callvis                                2350   2016        Visualize call graph of a Go program using dot (Gr...  
mikespook/Learning-Go-zh-cn                         2345   2013        一本学习 Go 语言的免费电子书。                                      
gwuhaolin/livego                                    2344   2017        纯 Go 写的直播服务器                                           
afex/hystrix-go                                     2343   2013        Netflix's Hystrix latency and fault tolerance libr...  
buzzfeed/sso                                        2342   2018        sso, aka S.S.Octopus, aka octoboi, is a single sig...  
chaosblade-io/chaosblade                            2340   2019        An easy to use and powerful chaos engineering expe...  
devopsfaith/krakend                                 2339   2016        Ultra performant API Gateway with middlewares          
benmanns/goworker                                   2336   2013        goworker is a Go-based background worker that runs...  
linkedin/Burrow                                     2327   2015        Kafka Consumer Lag Checking                            
mattes/migrate                                      2307   2014        Database migrations. CLI and Golang library.           
hunterlong/statping                                 2306   2018        Status Page for monitoring your websites and appli...  
GoogleContainerTools/container-diff                 2302   2017        container-diff: Diff your Docker containers            
cri-o/cri-o                                         2298   2016        Open Container Initiative-based implementation of ...  
docker/swarmkit                                     2295   2016        A toolkit for orchestrating distributed systems at...  
fagongzi/manba                                      2293   2016        An HTTP API Gateway                                    
google/mtail                                        2285   2014        extract whitebox monitoring data from application ...  
nginxinc/kubernetes-ingress                         2282   2016        NGINX and  NGINX Plus Ingress Controllers for Kube...  
nfnt/resize                                         2276   2012        Pure golang image resizing                             
mehrdadrad/mylg                                     2271   2016        Network Diagnostic Tool                                
uber/aresdb                                         2266   2018        A GPU-powered real-time analytics storage and quer...  
ouqiang/gocron                                      2262   2017        定时任务管理系统                                               
42wim/matterbridge                                  2262   2015        bridge between mattermost, IRC, gitter, xmpp, slac...  
aQuaYi/LeetCode-in-Go                               2260   2017        Go Solution for LeetCode algorithms problems, 100%...  
astaxie/bat                                         2248   2015        Go implement CLI, cURL-like tool for humans            
opentracing/opentracing-go                          2247   2015        OpenTracing API for Go                                 
sideshow/apns2                                      2243   2016        ⚡ HTTP/2 Apple Push Notification Service (APNs) ...    
FiloSottile/Heartbleed                              2240   2014        A checker (site and tool) for CVE-2014-0160            
kardianos/service                                   2236   2015        Run go programs as a service on major platforms.       
mmatczuk/go-http-tunnel                             2236   2016        Fast and secure tunnels over HTTP/2                    
moby/buildkit                                       2233   2017        concurrent, cache-efficient, and Dockerfile-agnost...  
bxcodec/go-clean-arch                               2230   2017        Go (Golang) Clean Architecture based on Reading Un...  
DATA-DOG/go-sqlmock                                 2227   2014        Sql mock driver for golang to test database intera...  
kubernetes-sigs/kubebuilder                         2226   2018        Kubebuilder - SDK for building Kubernetes APIs usi...  
go-task/task                                        2223   2017        A task runner / simpler Make alternative written i...  
aws/aws-lambda-go                                   2223   2017        Libraries, samples and tools to help Go developers...  
docker/deploykit                                    2222   2016        A toolkit for creating and managing declarative, s...  
siddontang/go-mysql                                 2217   2014        a powerful mysql toolset with Go                       
constabulary/gb                                     2217   2015        gb, the project based build tool for Go                
emitter-io/emitter                                  2217   2016        High performance, distributed and low latency publ...  
facebookincubator/ent                               2215   2019        An entity framework for Go                             
Jeffail/benthos                                     2214   2016        A stream processor for mundane tasks written in Go     
gopherdata/gophernotes                              2207   2016        The Go kernel for Jupyter notebooks and nteract.       
digitalocean/doctl                                  2197   2015        The official command line interface for the Digita...  
maruel/panicparse                                   2194   2015        Crash your app in style (Golang)                       
senghoo/golang-design-pattern                       2194   2016        设计模式 Golang实现－《研磨设计模式�...                              
divan/txqr                                          2192   2018        Transfer data via animated QR codes                    
prest/prest                                         2190   2016        pREST is a way to serve a RESTful API from any dat...  
Humpheh/goboy                                       2188   2017        Multi-platform Nintendo Game Boy Color emulator wr...  
kubeedge/kubeedge                                   2187   2018        Kubernetes Native Edge Computing Framework (projec...  
mgechev/revive                                      2178   2017        🔥 ~6x faster, stricter, configurable, extensibl...     
TarsCloud/TarsGo                                    2176   2018        A  high performance microservice  framework  in go...  
itsabot/itsabot                                     2173   2016        ItsAbot makes it easy and fun to build your own di...  
sourcegraph/thyme                                   2168   2016        Automatically track which applications you use and...  
elastic/go-elasticsearch                            2163   2017        The official Go client for Elasticsearch               
projectdiscovery/subfinder                          2162   2018        Subfinder is a subdomain discovery tool that disco...  
twpayne/chezmoi                                     2157   2018        Manage your dotfiles across multiple machines, sec...  
gernest/utron                                       2157   2015        A lightweight MVC framework for Go(Golang)             
shiyanhui/dht                                       2153   2016        BitTorrent DHT Protocol && DHT Spider.                 
kubernetes-sigs/krew                                2152   2018        📦 Find and install kubectl plugins                     
boramalper/magnetico                                2151   2017        Autonomous (self-hosted) BitTorrent DHT search eng...  
jetstack/kube-lego                                  2147   2016        Automatically request certificates for Kubernetes ...  
ChimeraCoder/gojson                                 2141   2012        Automatically generate Go (golang) struct definiti...  
distribworks/dkron                                  2141   2015        Dkron - Distributed, fault tolerant job scheduling...  
swaggo/swag                                         2140   2017        Automatically generate RESTful API documentation w...  
volatiletech/authboss                               2139   2015        The boss of http auth.                                 
cheggaaa/pb                                         2136   2012        Console progress bar for Golang                        
goodrain/rainbond                                   2127   2017        Enterprise Application System 以企业云原生�...              
mholt/timeliner                                     2127   2019        All your digital life on a single timeline, stored...  
fogleman/gg                                         2127   2016        Go Graphics - 2D rendering in Go with a simple API...  
google/codesearch                                   2126   2015        Fast, indexed regexp search over large file trees      
360EntSecGroup-Skylar/ElasticHD                     2125   2017        Elasticsearch 可视化DashBoard, 支持Es监控�...                
theupdateframework/notary                           2125   2015        Notary is a project that allows anyone to have tru...  
alecthomas/chroma                                   2124   2017        A general purpose syntax highlighter in pure Go        
purpleidea/mgmt                                     2124   2015        Next generation distributed, event-driven, paralle...  
googleapis/google-api-go-client                     2123   2014        Auto-generated Google APIs for Go.                     
goraft/raft                                         2106   2013        UNMAINTAINED: A Go implementation of the Raft dist...  
projectcontour/contour                              2105   2017        Contour is a Kubernetes ingress controller using L...  
aimerforreimu/auxpi                                 2103   2018        🍭 集合多家 API 的新一代图床                                      
Ullaakut/cameradar                                  2102   2016        Cameradar hacks its way into RTSP videosurveillanc...  
pressly/sup                                         2102   2015        Super simple deployment tool - think of it like 'm...  
solo-io/unik                                        2101   2016        The Unikernel & MicroVM Compilation and Deployment...  
dustin/go-humanize                                  2096   2012        Go Humans! (formatters for units to human friendly...  
weaveworks/eksctl                                   2094   2018        The official CLI for Amazon EKS                        
unidoc/unioffice                                    2086   2017        Pure go library for creating and processing Office...  
TruthHun/DocHub                                     2083   2018        参考百度文库，使用Beego（Golang）开发...                            
solo-io/gloo                                        2083   2018        An Envoy-Powered API Gateway                           
segmentio/kafka-go                                  2074   2017        Kafka library in Go                                    
maxmcd/webtty                                       2073   2018        Share a terminal session over WebRTC                   
upper/db                                            2069   2013        Productive data access layer for Go.                   
getgauge/gauge                                      2063   2014        Light weight cross-platform test automation            
mpolden/echoip                                      2061   2012        IP address lookup service                              
liamg/aminal                                        2049   2018        A modern cross-platform terminal emulator in Go        
xiaoming2028/FreePAC                                2049   2019        科学上网/梯子/自由上网/翻墙 SS/SSR/V2R...                          
ashleymcnamara/gophers                              2048   2017        Gopher Artwork by Ashley McNamara                      
olekukonko/tablewriter                              2046   2014        ASCII table in golang                                  
google/trillian                                     2045   2016        A transparent, highly scalable and cryptographical...  
golang/net                                          2036   2014        [mirror] Go supplementary network libraries            
jedisct1/piknik                                     2030   2016        Copy/paste anything over the network.                  
prometheus/client_golang                            2028   2013        Prometheus instrumentation library for Go applicat...  
henrylee2cn/erpc                                    2025   2015        An efficient, extensible and easy-to-use RPC frame...  
googleapis/google-cloud-go                          2018   2014        Google Cloud Client Libraries for Go.                  
moncho/dry                                          2014   2015        dry - A Docker manager for the terminal @              
gofiber/fiber                                       2013   2020        🚀 Fiber is an Express inspired web framework wr...     
kylesliu/awesome-golang-leetcode                    2009   2018        :memo: LeetCode of algorithms with golang solution...  
GoesToEleven/golang-web-dev                         2005   2016                                                               
tdewolff/minify                                     2001   2014        Go minifiers for web formats                           
yahoo/gryffin                                       1999   2015        Gryffin is a large scale web security scanning pla...  
pulumi/kubespy                                      1999   2018        Tools for observing Kubernetes resources in real t...  
floyernick/Data-Structures-and-Algorithms           1996   2018        Data Structures and Algorithms implementation in G...  
eth0izzle/shhgit                                    1995   2019        Ah shhgit! Find GitHub secrets in real time            
hoanhan101/algo                                     1990   2019        101+ coding interview problems with detailed solut...  
zalando/skipper                                     1987   2015        An HTTP router and reverse proxy for service compo...  
arachnys/athenapdf                                  1986   2016        Drop-in replacement for wkhtmltopdf built on Go, E...  
pilosa/pilosa                                       1978   2015        Pilosa is an open source, distributed bitmap index...  
kubernetes-incubator/external-storage               1975   2017        External storage plugins, provisioners, and helper...  
codesenberg/bombardier                              1973   2016        Fast cross-platform HTTP benchmarking tool written...  
cube2222/octosql                                    1972   2019        OctoSQL is a query tool that allows you to join, a...  
ahmetb/go-linq                                      1968   2013        .NET LINQ capabilities in Go                           
yunabe/lgo                                          1961   2017        Interactive Go programming with Jupyter                
rtr7/router7                                        1959   2018        pure-Go small home internet router                     
jgrahamc/httpdiff                                   1959   2015        Perform the same request against two HTTP servers ...  
chanxuehong/wechat                                  1958   2014        weixin/wechat/微信公众平台/微信企业号/�...                        
gopher-os/gopher-os                                 1958   2017        A proof of concept OS kernel written in Go             
hyperhq/hyperd                                      1958   2015        HyperContainer Daemon                                  
hellofresh/janus                                    1956   2016        An API Gateway written in Go                           
shunfei/cronsun                                     1956   2017        A Distributed, Fault-Tolerant Cron-Style Job Syste...  
uber/makisu                                         1952   2018        Fast and flexible Docker image building tool, work...  
nareix/joy4                                         1951   2016        Golang audio/video library and streaming server        
aceld/zinx                                          1950   2019        基于Golang轻量级TCP并发服务器框架                                  
kubernetes/kube-state-metrics                       1949   2016        Add-on agent to generate and expose cluster-level ...  
justinas/alice                                      1948   2014        Painless middleware chaining for Go                    
minishift/minishift                                 1947   2016        Run OpenShift 3.x locally                              
gdamore/tcell                                       1940   2015        Tcell is an alternate terminal package, similar in...  
arduino/arduino-cli                                 1936   2018        Arduino command line interface                         
docker/cli                                          1927   2017        The Docker CLI                                         
go-telegram-bot-api/telegram-bot-api                1923   2015        Golang bindings for the Telegram Bot API               
skynetservices/skynet-archive                       1922   2011        Skynet is a framework for distributed services in ...  
howeyc/fsnotify                                     1922   2012        File system notification for Go                        
willnorris/imageproxy                               1919   2013        A caching, resizing image proxy written in Go          
go-qml/qml                                          1917   2013        QML support for the Go language                        
shopspring/decimal                                  1917   2015        Arbitrary-precision fixed-point decimal numbers in...  
hashicorp/go-plugin                                 1917   2016        Golang plugin system over RPC.                         
containers/skopeo                                   1912   2016        Work with remote images registries - retrieving in...  
rcrowley/goagain                                    1912   2011        Zero-downtime restarts in Go                           
feixiao/Distributed-Systems                         1911   2016        MIT课程《Distributed Systems 》学习和翻译                       
dgraph-io/ristretto                                 1908   2019        A high performance memory-bound Go cache               
GoogleCloudPlatform/golang-samples                  1902   2015        Sample apps and code written for Google Cloud in t...  
